Cód. Cota,Categoria,Crédito,Entrada,Nº Parcelas,Vlr Parcela,Saldo devedor,Fundo comum,Ref. garantia,Administradora,Status
115,Imóvel,"R$120.000,00","R$45.000,00",56,"R$2.149,29","R$120.360,24","R$0,00","R$0,00",Rodobens,Disponível
154,Imóvel,"R$120.000,00","R$46.800,00",191,"R$839,00","R$160.249,00","R$0,00","R$0,00",Bradesco,Disponível
415,Imóvel,"R$120.000,00","R$61.000,00",76,"R$1.522,00","R$115.672,00","R$0,00","R$0,00",Portobens,Disponível
416,Imóvel,"R$120.000,00","R$62.000,00",76,"R$1.529,00","R$116.204,00","R$0,00","R$0,00",Portobens,Disponível
130,Imóvel,"R$120.150,00","R$45.553,75",151,"R$980,00","R$147.980,00","R$0,00","R$0,00",HS Consórcios,Disponível
603,Imóvel,"R$120.200,00","R$52.805,00",197,"R$755,00","R$148.735,00","R$0,00","R$0,00",Portobens,Disponível
104,Imóvel,"R$122.050,00","R$46.751,25",129,"R$933,00","R$120.357,00","R$0,00","R$0,00",HS Consórcios,Disponível
611,Imóvel,"R$122.157,00","R$49.990,00",167,"R$959,25","R$160.194,75","R$0,00","R$0,00",Rodobens,Disponível
72,Imóvel,"R$123.000,00","R$48.075,00",63,"R$1.731,62","R$109.092,06","R$0,00","R$0,00",Rodobens,Disponível
357,Imóvel,"R$123.000,00","R$54.275,00",63,"R$1.731,62","R$109.092,06","R$0,00","R$0,00",Rodobens,Disponível
612,Imóvel,"R$123.357,00","R$49.990,00",175,"R$920,00","R$161.000,00","R$0,00","R$0,00",Rodobens,Disponível
67,Imóvel,"R$123.500,00","R$41.887,50",96,"R$1.546,00","R$148.416,00","R$0,00","R$0,00",CNP Consórcio,Disponível
134,Imóvel,"R$124.000,00","R$46.900,00",137,"R$1.016,00","R$139.192,00","R$0,00","R$0,00",HS Consórcios,Disponível
420,Imóvel,"R$124.000,00","R$71.900,87",128,"R$772,72","R$98.908,16","R$0,00","R$0,00",Bradesco,Disponível
190,Imóvel,"R$124.250,00","R$47.606,25",124,"R$1.079,00","R$133.796,00","R$0,00","R$0,00",HS Consórcios,Disponível
161,Imóvel,"R$125.000,00","R$50.225,00",134,"R$1.046,00","R$140.164,00","R$0,00","R$0,00",HS Consórcios,Disponível
381,Imóvel,"R$125.200,00","R$61.030,00",38,"R$3.145,54","R$119.530,52","R$0,00","R$0,00",Itaú,Disponível
414,Imóvel,"R$126.000,00","R$61.650,00",42,"R$2.230,00","R$93.660,00","R$0,00","R$0,00",Portobens,Disponível
588,Imóvel,"R$126.500,00","R$67.262,50",183,"R$821,00","R$150.243,00","R$0,00","R$0,00",Portobens,Disponível
364,Imóvel,"R$126.897,48","R$58.072,44",104,"R$900,76","R$93.679,04","R$0,00","R$0,00",HS Consórcios,Disponível
390,Imóvel,"R$126.900,00","R$64.472,50",104,"R$900,76","R$93.679,04","R$0,00","R$0,00",HS Consórcios,Disponível
147,Imóvel,"R$127.800,00","R$49.595,00",203,"R$708,00","R$143.724,00","R$0,00","R$0,00",Santander,Disponível
372,Imóvel,"R$130.000,00","R$66.650,00",93,"R$1.332,00","R$123.876,00","R$0,00","R$0,00",Portobens,Disponível
579,Imóvel,"R$132.000,00","R$62.600,00",205,"R$774,00","R$158.670,00","R$0,00","R$0,00",Santander,Disponível
358,Imóvel,"R$132.210,00","R$58.355,17",75,"R$1.574,96","R$118.122,00","R$0,00","R$0,00",Rodobens,Disponível
384,Imóvel,"R$132.300,00","R$65.007,50",75,"R$1.574,96","R$118.122,00","R$0,00","R$0,00",Rodobens,Disponível
394,Imóvel,"R$134.300,00","R$86.357,50",104,"R$1.218,00","R$126.672,00","R$0,00","R$0,00",Portobens,Disponível
367,Imóvel,"R$135.678,00","R$62.376,95",187,"R$685,00","R$128.095,00","R$0,00","R$0,00",BB Consórcios,Disponível
397,Imóvel,"R$139.300,00","R$98.782,50",86,"R$1.269,00","R$109.134,00","R$0,00","R$0,00",Portobens,Disponível
399,Imóvel,"R$140.000,00","R$72.431,24",42,"R$3.031,24","R$127.312,08","R$0,00","R$0,00",Itaú,Disponível
409,Imóvel,"R$140.000,00","R$76.400,00",43,"R$3.031,24","R$130.343,32","R$0,00","R$0,00",Itaú,Disponível
626,Imóvel,"R$143.248,00","R$56.990,00",75,"R$2.192,31","R$164.423,25","R$0,00","R$0,00",Santander,Disponível
170,Imóvel,"R$144.050,00","R$56.101,25",143,"R$1.219,00","R$174.317,00","R$0,00","R$0,00",HS Consórcios,Disponível
623,Imóvel,"R$144.185,73","R$61.990,00",136,"R$1.141,16","R$155.197,76","R$0,00","R$0,00",Itaú,Disponível
565,Imóvel,"R$150.500,00","R$74.862,50",195,"R$931,90","R$181.720,50","R$0,00","R$0,00",Portobens,Disponível
208,Imóvel,"R$150.900,00","R$60.372,50",126,"R$1.267,44","R$159.697,44","R$0,00","R$0,00",Magalu,Disponível
546,Imóvel,"R$152.000,00","R$66.600,00",195,"R$897,00","R$174.915,00","R$0,00","R$0,00",Caixa,Disponível
594,Imóvel,"R$152.000,00","R$83.800,00",194,"R$930,00","R$180.420,00","R$0,00","R$0,00",Portobens,Disponível
123,Imóvel,"R$152.300,00","R$61.307,50",175,"R$1.225,00","R$214.375,00","R$0,00","R$0,00",HS Consórcios,Disponível
138,Imóvel,"R$152.350,00","R$61.258,75",151,"R$1.256,00","R$189.656,00","R$0,00","R$0,00",HS Consórcios,Disponível
203,Imóvel,"R$152.350,00","R$57.808,75",119,"R$1.402,00","R$166.838,00","R$0,00","R$0,00",HS Consórcios,Disponível
56,Imóvel,"R$152.650,00","R$58.266,25",182,"R$1.039,00","R$189.098,00","R$0,00","R$0,00",HS Consórcios,Disponível
90,Imóvel,"R$154.950,00","R$62.123,75",176,"R$1.137,00","R$200.112,00","R$0,00","R$0,00",HS Consórcios,Disponível
58,Imóvel,"R$155.700,00","R$59.842,50",184,"R$1.065,00","R$195.960,00","R$0,00","R$0,00",HS Consórcios,Disponível
525,Imóvel,"R$156.000,00","R$63.700,00",195,"R$913,00","R$178.035,00","R$0,00","R$0,00",Caixa,Disponível
52,Imóvel,"R$156.300,00","R$60.057,50",184,"R$1.049,00","R$193.016,00","R$0,00","R$0,00",HS Consórcios,Disponível
618,Imóvel,"R$157.028,00","R$60.990,00",226,"R$930,77","R$210.354,02","R$0,00","R$0,00",Embracon,Disponível
183,Imóvel,"R$157.200,00","R$62.230,00",108,"R$1.637,60","R$176.860,80","R$0,00","R$0,00",Rodobens,Disponível
556,Imóvel,"R$157.500,00","R$69.937,50",177,"R$991,50","R$175.495,50","R$0,00","R$0,00",Caixa,Disponível
41,Imóvel,"R$158.000,00","R$43.750,00",93,"R$2.145,00","R$199.485,00","R$0,00","R$0,00",CNP Consórcio,Disponível
43,Imóvel,"R$159.500,00","R$44.787,50",96,"R$2.072,00","R$198.912,00","R$0,00","R$0,00",CNP Consórcio,Disponível
619,Imóvel,"R$159.642,00","R$69.990,00",47,"R$3.048,39","R$143.274,33","R$0,00","R$0,00",Embracon,Disponível
195,Imóvel,"R$160.000,00","R$63.768,25",224,"R$868,25","R$194.488,00","R$0,00","R$0,00",Embracon,Disponível
224,Imóvel,"R$162.800,00","R$55.420,00",75,"R$2.075,00","R$155.625,00","R$0,00","R$0,00",HS Consórcios,Disponível
179,Imóvel,"R$163.772,43","R$64.694,31",145,"R$1.377,12","R$199.682,40","R$0,00","R$0,00",Embracon,Disponível
620,Imóvel,"R$164.589,00","R$69.990,00",57,"R$2.573,20","R$146.672,40","R$0,00","R$0,00",Embracon,Disponível
625,Imóvel,"R$166.182,72","R$69.990,00",134,"R$1.420,69","R$190.372,46","R$0,00","R$0,00",Porto Seguro,Disponível
624,Imóvel,"R$167.543,20","R$69.990,00",134,"R$1.414,69","R$189.568,46","R$0,00","R$0,00",Porto Seguro,Disponível
356,Imóvel,"R$171.403,00","R$75.151,91",168,"R$966,84","R$162.429,12","R$0,00","R$0,00",Santander,Disponível
382,Imóvel,"R$171.500,00","R$83.787,50",168,"R$966,84","R$162.429,12","R$0,00","R$0,00",Santander,Disponível
558,Imóvel,"R$175.800,00","R$78.195,00",184,"R$1.068,27","R$196.561,68","R$0,00","R$0,00",Rodobens,Disponível
144,Imóvel,"R$177.250,00","R$71.431,25",126,"R$1.466,00","R$184.716,00","R$0,00","R$0,00",HS Consórcios,Disponível
361,Imóvel,"R$178.250,00","R$79.756,25",53,"R$2.458,00","R$130.274,00","R$0,00","R$0,00",HS Consórcios,Disponível
398,Imóvel,"R$179.500,00","R$92.787,50",54,"R$2.458,00","R$132.732,00","R$0,00","R$0,00",HS Consórcios,Disponível
392,Imóvel,"R$183.300,00","R$103.782,50",125,"R$1.113,00","R$139.125,00","R$0,00","R$0,00",Portobens,Disponível
62,Imóvel,"R$184.500,00","R$62.112,50",96,"R$2.320,00","R$222.720,00","R$0,00","R$0,00",CNP Consórcio,Disponível
373,Imóvel,"R$188.400,00","R$97.110,00",167,"R$1.071,00","R$178.857,00","R$0,00","R$0,00",Portobens,Disponível
376,Imóvel,"R$188.400,00","R$90.610,00",143,"R$1.200,00","R$171.600,00","R$0,00","R$0,00",Magalu,Disponível
68,Imóvel,"R$190.000,00","R$73.750,00",78,"R$2.432,91","R$189.766,98","R$0,00","R$0,00",Rodobens,Disponível
354,Imóvel,"R$190.000,00","R$83.250,00",78,"R$2.432,91","R$189.766,98","R$0,00","R$0,00",Rodobens,Disponível
355,Imóvel,"R$190.000,00","R$83.250,00",54,"R$3.299,00","R$178.146,00","R$0,00","R$0,00",Rodobens,Disponível
94,Imóvel,"R$191.850,00","R$77.346,25",173,"R$1.431,00","R$247.563,00","R$0,00","R$0,00",HS Consórcios,Disponível
226,Imóvel,"R$194.176,69","R$78.604,42",191,"R$1.260,26","R$240.709,66","R$0,00","R$0,00",Caixa,Disponível
564,Imóvel,"R$194.200,00","R$88.355,00",192,"R$1.260,26","R$241.969,92","R$0,00","R$0,00",Caixa,Disponível
89,Imóvel,"R$196.050,00","R$79.201,25",173,"R$1.428,00","R$247.044,00","R$0,00","R$0,00",HS Consórcios,Disponível
614,Imóvel,"R$198.425,87","R$74.990,00",227,"R$1.115,00","R$253.105,00","R$0,00","R$0,00",Embracon,Disponível
66,Imóvel,"R$198.650,00","R$78.866,25",173,"R$1.373,00","R$237.529,00","R$0,00","R$0,00",HS Consórcios,Disponível
533,Imóvel,"R$200.500,00","R$84.812,50",195,"R$1.230,00","R$239.850,00","R$0,00","R$0,00",Caixa,Disponível
71,Imóvel,"R$206.400,00","R$79.360,00",170,"R$1.436,00","R$244.120,00","R$0,00","R$0,00",HS Consórcios,Disponível
547,Imóvel,"R$210.000,00","R$92.050,00",185,"R$1.264,00","R$233.840,00","R$0,00","R$0,00",Caixa,Disponível
604,Imóvel,"R$210.000,00","R$98.050,00",196,"R$1.076,00","R$210.896,00","R$0,00","R$0,00",Portobens,Disponível
374,Imóvel,"R$210.000,00","R$100.750,00",143,"R$1.338,00","R$191.334,00","R$0,00","R$0,00",Bradesco,Disponível
551,Imóvel,"R$211.000,00","R$93.075,00",185,"R$1.346,00","R$249.010,00","R$0,00","R$0,00",Caixa,Disponível
98,Imóvel,"R$211.450,00","R$84.386,25",156,"R$1.586,00","R$247.416,00","R$0,00","R$0,00",HS Consórcios,Disponível
87,Imóvel,"R$212.350,00","R$84.508,75",157,"R$1.504,00","R$236.128,00","R$0,00","R$0,00",HS Consórcios,Disponível
378,Imóvel,"R$213.000,00","R$103.325,00",80,"R$2.378,38","R$190.270,40","R$0,00","R$0,00",Rodobens,Disponível
405,Imóvel,"R$213.000,00","R$114.025,00",80,"R$2.378,38","R$190.270,40","R$0,00","R$0,00",Rodobens,Disponível
412,Imóvel,"R$214.000,00","R$99.150,00",196,"R$1.087,00","R$213.052,00","R$0,00","R$0,00",Portobens,Disponível
595,Imóvel,"R$217.482,00","R$96.749,05",174,"R$1.322,00","R$230.028,00","R$0,00","R$0,00",Portobens,Disponível
413,Imóvel,"R$217.600,00","R$134.240,00",83,"R$1.846,00","R$153.218,00","R$0,00","R$0,00",Itaú,Disponível
411,Imóvel,"R$220.000,00","R$124.346,00",82,"R$1.846,00","R$151.372,00","R$0,00","R$0,00",Itaú,Disponível
76,Imóvel,"R$221.540,00","R$77.538,50",103,"R$2.399,00","R$247.097,00","R$0,00","R$0,00",Magalu,Disponível
155,Imóvel,"R$221.750,00","R$86.043,75",143,"R$1.848,00","R$264.264,00","R$0,00","R$0,00",HS Consórcios,Disponível
93,Imóvel,"R$222.000,00","R$81.050,00",81,"R$6.273,52","R$508.155,12","R$0,00","R$0,00",Rodobens,Disponível
32,Imóvel,"R$226.000,00","R$56.450,00",101,"R$3.152,00","R$318.352,00","R$0,00","R$0,00",CNP Consórcio,Disponível
223,Imóvel,"R$229.450,00","R$87.686,25",78,"R$2.803,00","R$218.634,00","R$0,00","R$0,00",HS Consórcios,Disponível
55,Imóvel,"R$230.000,00","R$74.750,00",64,"R$3.799,00","R$243.136,00","R$0,00","R$0,00",Rodobens,Disponível
113,Imóvel,"R$230.000,00","R$86.250,00",64,"R$3.799,00","R$243.136,00","R$0,00","R$0,00",Rodobens,Disponível
114,Imóvel,"R$230.000,00","R$86.250,00",64,"R$3.799,00","R$243.136,00","R$0,00","R$0,00",Rodobens,Disponível
26,Imóvel,"R$231.500,00","R$56.587,50",96,"R$3.309,00","R$317.664,00","R$0,00","R$0,00",CNP Consórcio,Disponível
9,Imóvel,"R$233.000,00","R$48.625,00",96,"R$3.538,00","R$339.648,00","R$0,00","R$0,00",CNP Consórcio,Disponível
35,Imóvel,"R$234.000,00","R$60.650,00",96,"R$3.200,00","R$307.200,00","R$0,00","R$0,00",CNP Consórcio,Disponível
410,Imóvel,"R$237.800,00","R$133.645,00",64,"R$3.010,00","R$192.640,00","R$0,00","R$0,00",HS Consórcios,Disponível
621,Imóvel,"R$238.720,00","R$82.990,00",131,"R$2.073,28","R$271.599,68","R$0,00","R$0,00",Embracon,Disponível
571,Imóvel,"R$240.000,00","R$111.500,00",176,"R$1.471,00","R$258.896,00","R$0,00","R$0,00",Caixa,Disponível
202,Imóvel,"R$240.000,00","R$95.800,00",185,"R$1.422,00","R$263.070,00","R$0,00","R$0,00",Caixa,Disponível
622,Imóvel,"R$242.425,00","R$91.990,00",159,"R$1.702,78","R$270.742,02","R$0,00","R$0,00",Embracon,Disponível
615,Imóvel,"R$242.526,00","R$119.990,00",93,"R$1.679,40","R$156.184,20","R$0,00","R$0,00",Embracon,Disponível
527,Imóvel,"R$243.000,00","R$101.875,00",185,"R$1.548,00","R$286.380,00","R$0,00","R$0,00",Caixa,Disponível
97,Imóvel,"R$245.350,00","R$96.833,75",169,"R$1.839,00","R$310.791,00","R$0,00","R$0,00",HS Consórcios,Disponível
92,Imóvel,"R$250.300,00","R$91.357,50",196,"R$1.521,00","R$298.116,00","R$0,00","R$0,00",Santander,Disponível
75,Imóvel,"R$252.000,00","R$85.300,00",56,"R$4.184,00","R$234.304,00","R$0,00","R$0,00",Rodobens,Disponível
77,Imóvel,"R$252.000,00","R$97.900,00",56,"R$4.184,00","R$234.304,00","R$0,00","R$0,00",Rodobens,Disponível
562,Imóvel,"R$254.500,00","R$115.162,50",212,"R$1.494,00","R$316.728,00","R$0,00","R$0,00",Rodobens,Disponível
368,Imóvel,"R$256.000,00","R$128.000,00",138,"R$1.786,00","R$246.468,00","R$0,00","R$0,00",Portobens,Disponível
404,Imóvel,"R$256.688,00","R$117.003,20",137,"R$1.786,00","R$244.682,00","R$0,00","R$0,00",Porto Seguro,Disponível
213,Imóvel,"R$257.250,00","R$103.431,25",121,"R$2.432,00","R$294.272,00","R$0,00","R$0,00",HS Consórcios,Disponível
523,Imóvel,"R$262.000,00","R$106.350,00",185,"R$1.697,00","R$313.945,00","R$0,00","R$0,00",Caixa,Disponível
605,Imóvel,"R$264.000,00","R$120.664,60",183,"R$1.695,00","R$310.185,00","R$0,00","R$0,00",Portobens,Disponível
627,Imóvel,"R$269.144,00","R$109.990,00",200,"R$1.606,00","R$321.200,00","R$0,00","R$0,00",Embracon,Disponível
78,Imóvel,"R$271.300,00","R$95.382,50",40,"R$7.802,02","R$312.080,80","R$0,00","R$0,00",Itaú,Disponível
401,Imóvel,"R$291.000,00","R$153.975,00",67,"R$4.090,00","R$274.030,00","R$0,00","R$0,00",Itaú,Disponível
59,Imóvel,"R$292.500,00","R$96.112,50",116,"R$3.260,00","R$378.160,00","R$0,00","R$0,00",CNP Consórcio,Disponível
388,Imóvel,"R$292.500,00","R$158.912,50",136,"R$1.970,00","R$267.920,00","R$0,00","R$0,00",Portobens,Disponível
383,Imóvel,"R$293.000,00","R$143.505,00",66,"R$4.090,00","R$269.940,00","R$0,00","R$0,00",Itaú,Disponível
105,Imóvel,"R$294.200,00","R$115.355,00",138,"R$2.251,00","R$310.638,00","R$0,00","R$0,00",HS Consórcios,Disponível
597,Imóvel,"R$295.829,00","R$133.145,73",184,"R$1.813,00","R$333.592,00","R$0,00","R$0,00",Portobens,Disponível
375,Imóvel,"R$298.350,00","R$143.358,75",197,"R$1.350,00","R$265.950,00","R$0,00","R$0,00",Magalu,Disponível
393,Imóvel,"R$299.000,00","R$172.375,00",182,"R$1.641,00","R$298.662,00","R$0,00","R$0,00",Portobens,Disponível
573,Imóvel,"R$300.000,00","R$153.000,00",188,"R$1.842,00","R$346.296,00","R$0,00","R$0,00",Portobens,Disponível
70,Imóvel,"R$300.000,00","R$103.300,00",96,"R$3.505,00","R$336.480,00","R$0,00","R$0,00",CNP Consórcio,Disponível
349,Imóvel,"R$301.801,00","R$128.265,02",96,"R$2.955,91","R$283.767,36","R$0,00","R$0,00",HS Consórcios,Disponível
61,Imóvel,"R$303.635,00","R$101.490,88",79,"R$4.162,16","R$328.810,64","R$0,00","R$0,00",Magalu,Disponível
580,Imóvel,"R$308.000,00","R$146.500,00",176,"R$1.842,00","R$324.192,00","R$0,00","R$0,00",Caixa,Disponível
125,Imóvel,"R$309.250,00","R$120.731,25",163,"R$2.502,00","R$407.826,00","R$0,00","R$0,00",HS Consórcios,Disponível
609,Imóvel,"R$309.919,00","R$159.990,00",174,"R$1.442,00","R$250.908,00","R$0,00","R$0,00",Bradesco,Disponível
555,Imóvel,"R$310.000,00","R$137.550,00",195,"R$1.810,00","R$352.950,00","R$0,00","R$0,00",Caixa,Disponível
596,Imóvel,"R$318.470,00","R$143.311,75",182,"R$2.026,00","R$368.732,00","R$0,00","R$0,00",Portobens,Disponível
221,Imóvel,"R$323.000,00","R$128.575,00",95,"R$3.482,00","R$330.790,00","R$0,00","R$0,00",HS Consórcios,Disponível
20,Imóvel,"R$333.000,00","R$78.125,00",93,"R$4.926,00","R$458.118,00","R$0,00","R$0,00",CNP Consórcio,Disponível
207,Imóvel,"R$339.584,00","R$135.839,60",104,"R$3.896,00","R$405.184,00","R$0,00","R$0,00",Bradesco,Disponível
44,Imóvel,"R$343.000,00","R$97.375,00",96,"R$4.442,00","R$426.432,00","R$0,00","R$0,00",CNP Consórcio,Disponível
4,Imóvel,"R$350.000,00","R$69.550,00",42,"R$9.357,00","R$392.994,00","R$0,00","R$0,00",CNP Consórcio,Disponível
534,Imóvel,"R$350.000,00","R$148.550,00",193,"R$2.215,00","R$427.495,00","R$0,00","R$0,00",Caixa,Disponível
407,Imóvel,"R$350.000,00","R$189.550,00",45,"R$5.570,00","R$250.650,00","R$0,00","R$0,00",Itaú,Disponível
63,Imóvel,"R$354.000,00","R$119.650,00",120,"R$3.505,00","R$420.600,00","R$0,00","R$0,00",CNP Consórcio,Disponível
370,Imóvel,"R$356.000,00","R$165.700,00",167,"R$2.067,00","R$345.189,00","R$0,00","R$0,00",Caixa,Disponível
86,Imóvel,"R$368.050,00","R$145.201,25",169,"R$2.591,00","R$437.879,00","R$0,00","R$0,00",HS Consórcios,Disponível
406,Imóvel,"R$372.700,00","R$200.817,50",125,"R$2.408,00","R$301.000,00","R$0,00","R$0,00",Santander,Disponível
57,Imóvel,"R$390.000,00","R$127.550,00",116,"R$4.330,00","R$502.280,00","R$0,00","R$0,00",CNP Consórcio,Disponível
65,Imóvel,"R$392.000,00","R$132.600,00",120,"R$3.855,00","R$462.600,00","R$0,00","R$0,00",CNP Consórcio,Disponível
2,Imóvel,"R$400.000,00","R$78.800,00",42,"R$11.005,00","R$462.210,00","R$0,00","R$0,00",CNP Consórcio,Disponível
536,Imóvel,"R$401.500,00","R$170.837,50",182,"R$2.312,00","R$420.784,00","R$0,00","R$0,00",Caixa,Disponível
102,Imóvel,"R$410.800,00","R$165.670,00",171,"R$3.127,00","R$534.717,00","R$0,00","R$0,00",HS Consórcios,Disponível
402,Imóvel,"R$411.652,00","R$185.250,30",135,"R$3.009,00","R$406.215,00","R$0,00","R$0,00",Porto Seguro,Disponível
160,Imóvel,"R$417.000,00","R$163.225,00",146,"R$3.385,00","R$494.210,00","R$0,00","R$0,00",Caixa,Disponível
1,Imóvel,"R$420.000,00","R$76.300,00",42,"R$11.480,00","R$482.160,00","R$0,00","R$0,00",CNP Consórcio,Disponível
387,Imóvel,"R$434.400,00","R$234.560,00",110,"R$3.627,00","R$398.970,00","R$0,00","R$0,00",Portobens,Disponível
6,Imóvel,"R$440.000,00","R$89.800,00",42,"R$11.460,00","R$481.320,00","R$0,00","R$0,00",CNP Consórcio,Disponível
584,Imóvel,"R$448.000,00","R$233.500,00",178,"R$2.620,00","R$466.360,00","R$0,00","R$0,00",Portobens,Disponível
28,Imóvel,"R$454.000,00","R$111.150,00",102,"R$6.328,00","R$645.456,00","R$0,00","R$0,00",CNP Consórcio,Disponível
16,Imóvel,"R$471.000,00","R$103.575,00",95,"R$6.842,00","R$649.990,00","R$0,00","R$0,00",CNP Consórcio,Disponível
46,Imóvel,"R$472.000,00","R$141.600,00",95,"R$6.502,00","R$617.690,00","R$0,00","R$0,00",CNP Consórcio,Disponível
359,Imóvel,"R$475.000,00","R$209.675,00",167,"R$2.740,00","R$457.580,00","R$0,00","R$0,00",Caixa,Disponível
53,Imóvel,"R$483.600,00","R$154.490,00",119,"R$5.172,00","R$615.468,00","R$0,00","R$0,00",CNP Consórcio,Disponível
539,Imóvel,"R$485.000,00","R$207.925,00",185,"R$2.970,00","R$549.450,00","R$0,00","R$0,00",Caixa,Disponível
50,Imóvel,"R$488.000,00","R$151.000,00",116,"R$5.485,00","R$636.260,00","R$0,00","R$0,00",CNP Consórcio,Disponível
535,Imóvel,"R$507.000,00","R$215.475,00",193,"R$3.055,00","R$589.615,00","R$0,00","R$0,00",Caixa,Disponível
386,Imóvel,"R$510.000,00","R$252.550,00",160,"R$3.143,00","R$502.880,00","R$0,00","R$0,00",Caixa,Disponível
39,Imóvel,"R$529.000,00","R$142.025,00",102,"R$7.383,00","R$753.066,00","R$0,00","R$0,00",CNP Consórcio,Disponível
